isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST EAST 178 0
true false EAST EAST 177 10
true false EAST SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST NORTH 175 30
true false NORTH NORTH 175 30
true false NORTH SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH EAST 173 50
true false EAST WEST 173 50
true false WEST EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST EAST 172 60
true false EAST WEST 171 70
true false WEST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST NORTH 170 80
true false NORTH EAST 169 90
true false EAST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST WEST 169 90
true false WEST EAST 169 90
true false EAST EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH WEST 168 100
true false WEST WEST 168 100
true false WEST EAST 168 100
true false EAST NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH WEST 167 110
true false WEST NORTH 166 120
true false NORTH WEST 166 120
true false WEST WEST 165 130
true false WEST EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST WEST 164 140
true false WEST EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST NORTH 164 140
true false NORTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST EAST 163 150
true false EAST EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH EAST 163 150
true false EAST WEST 163 150
true false WEST EAST 163 150
true false EAST EAST 163 150
true false EAST WEST 163 150
true false WEST WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST EAST 163 150
true false EAST NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH WEST 163 150
true false WEST NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST WEST 163 150
true false WEST EAST 163 150
true false EAST NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST WEST 163 150
true false WEST NORTH 163 150
true false NORTH WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST WEST 163 150
true false WEST WEST 163 150
true false WEST NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH EAST 163 150
true false EAST WEST 163 150
true false WEST EAST 163 150
true false EAST NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST EAST 163 150
true false EAST WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH NORTH 163 150
