isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST EAST 178 0
true false EAST SOUTH 177 10
true false SOUTH WEST 177 10
true false WEST SOUTH 177 10
true false SOUTH SOUTH 177 10
true false SOUTH WEST 177 10
true false WEST SOUTH 176 20
true false SOUTH NORTH 176 20
true false NORTH EAST 175 30
true false EAST WEST 175 30
true false WEST NORTH 175 30
true false NORTH SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST SOUTH 171 70
true false SOUTH SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH WEST 171 70
true false WEST WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST WEST 171 70
true false WEST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST EAST 171 70
true false EAST NORTH 171 70
true false NORTH WEST 171 70
true false WEST NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH NORTH 170 80
true false NORTH NORTH 170 80
true false NORTH EAST 170 80
true false EAST EAST 169 90
true false EAST WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST EAST 168 100
true false EAST EAST 168 100
true false EAST NORTH 168 100
true false NORTH WEST 168 100
true false WEST WEST 168 100
true false WEST NORTH 168 100
true false NORTH WEST 168 100
true false WEST EAST 168 100
true false EAST EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH EAST 167 110
true false EAST WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST EAST 166 120
true false EAST EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH EAST 166 120
true false EAST SOUTH 165 130
true false SOUTH WEST 164 140
true false WEST WEST 164 140
true false WEST WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH EAST 163 150
true false EAST NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST EAST 162 -2147483489
true false EAST EAST 162 -2147483489
true false EAST NORTH 162 -2147483489
true false NORTH EAST 162 -2147483489
true false EAST NORTH 162 -2147483489
true false NORTH EAST 162 -2147483489
true false EAST EAST 161 -2147483479
true false EAST NORTH 160 -2147483469
true false NORTH WEST 159 -2147483459
true false WEST NORTH 159 -2147483459
true false NORTH NORTH 158 -2147483449
true false NORTH NORTH 157 -2147483439
true false NORTH NORTH 156 -2147483429
true false NORTH EAST 155 -2147483419
true false EAST EAST 155 -2147483419
true false EAST SOUTH 155 -2147483419
true false SOUTH EAST 155 -2147483419
true false EAST SOUTH 155 -2147483419
true false SOUTH WEST 155 -2147483419
true false WEST SOUTH 155 -2147483419
true false SOUTH SOUTH 155 -2147483419
true false SOUTH NORTH 155 -2147483419
true false NORTH NORTH 155 -2147483419
true false NORTH WEST 155 -2147483419
true false WEST NORTH 155 -2147483419
true false NORTH NORTH 155 -2147483419
true false NORTH NORTH 155 -2147483419
true false NORTH NORTH 154 -2147483409
true false NORTH NORTH 153 -2147483399
true false NORTH EAST 152 -2147483389
true false EAST NORTH 152 -2147483389
true false NORTH SOUTH 151 -2147483379
true false SOUTH WEST 151 -2147483379
true false WEST WEST 151 -2147483379
true false WEST NORTH 151 -2147483379
true false NORTH EAST 151 -2147483379
true false EAST NORTH 151 -2147483379
true false NORTH EAST 150 -2147483369
true false EAST SOUTH 149 -2147483359
true false SOUTH EAST 149 -2147483359
true false EAST SOUTH 148 -2147483349
true false SOUTH WEST 148 -2147483349
true false WEST EAST 148 -2147483349
true false EAST EAST 148 -2147483349
true false EAST EAST 147 -2147483339
true false EAST NORTH 146 -2147483329
true false NORTH SOUTH 145 -2147483319
true false SOUTH NORTH 145 -2147483319
true false NORTH EAST 145 -2147483319
true false EAST EAST 145 -2147483319
true false EAST NORTH 145 -2147483319
true false NORTH WEST 144 -2147483309
false false WEST WEST 143 348
