isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 178 0
true false WEST EAST 177 10
true false EAST EAST 177 10
true false EAST NORTH 176 20
true false NORTH WEST 175 30
true false WEST SOUTH 175 30
true false SOUTH WEST 175 30
true false WEST EAST 175 30
true false EAST SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST NORTH 174 40
true false NORTH WEST 174 40
true false WEST NORTH 174 40
true false NORTH EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST EAST 174 40
true false EAST EAST 174 40
true false EAST EAST 173 50
true false EAST WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH SOUTH 171 70
true false SOUTH WEST 170 80
true false WEST NORTH 169 90
true false NORTH WEST 169 90
true false WEST NORTH 168 100
true false NORTH WEST 168 100
true false WEST WEST 167 110
true false WEST EAST 167 110
true false EAST EAST 167 110
true false EAST EAST 167 110
true false EAST WEST 167 110
true false WEST WEST 167 110
true false WEST WEST 167 110
true false WEST NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH EAST 165 130
true false EAST EAST 165 130
true false EAST EAST 165 130
true false EAST EAST 165 130
true false EAST NORTH 165 130
true false NORTH WEST 165 130
true false WEST SOUTH 165 130
true false SOUTH SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH EAST 163 150
true false EAST WEST 163 150
true false WEST WEST 163 150
true false WEST EAST 163 150
true false EAST NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST WEST 163 150
true false WEST NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH WEST 163 150
true false WEST NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH EAST 163 150
true false EAST EAST 163 150
true false EAST NORTH 163 150
true false NORTH EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH WEST 163 150
true false WEST NORTH 163 150
true false NORTH EAST 163 150
true false EAST NORTH 162 160
true false NORTH SOUTH 162 160
true false SOUTH WEST 162 160
true false WEST EAST 162 160
true false EAST WEST 162 160
true false WEST EAST 162 160
true false EAST WEST 162 160
true false WEST SOUTH 162 160
true false SOUTH EAST 162 160
true false EAST NORTH 162 160
true false NORTH NORTH 162 160
true false NORTH WEST 162 160
true false WEST NORTH 162 160
true false NORTH NORTH 162 160
true false NORTH NORTH 162 160
true false NORTH EAST 162 160
true false EAST SOUTH 162 160
true false SOUTH SOUTH 162 160
true false SOUTH EAST 162 160
true false EAST WEST 162 160
true false WEST WEST 162 160
true false WEST EAST 162 160
true false EAST EAST 162 160
true false EAST WEST 162 160
true false WEST NORTH 162 160
true false NORTH WEST 162 160
true false WEST SOUTH 162 160
true false SOUTH SOUTH 162 160
true false SOUTH NORTH 162 160
true false NORTH SOUTH 162 160
true false SOUTH EAST 162 160
true false EAST EAST 162 160
true false EAST SOUTH 162 160
true false SOUTH NORTH 162 160
true false NORTH SOUTH 162 160
true false SOUTH NORTH 162 160
true false NORTH WEST 162 160
true false WEST EAST 162 160
true false EAST SOUTH 162 160
true false SOUTH SOUTH 162 160
true false SOUTH SOUTH 162 160
true false SOUTH NORTH 162 160
true false NORTH EAST 162 160
true false EAST EAST 162 160
true false EAST NORTH 162 160
true false NORTH SOUTH 162 160
true false SOUTH NORTH 162 160
true false NORTH NORTH 162 160
true false NORTH EAST 162 160
true false EAST WEST 162 160
true false WEST WEST 162 160
true false WEST EAST 162 160
true false EAST WEST 162 160
true false WEST EAST 162 160
true false EAST WEST 162 160
true false WEST EAST 162 160
true false EAST WEST 162 160
true false WEST WEST 162 160
true false WEST NORTH 162 160
true false NORTH NORTH 162 160
